,,作者,题名,文献来源,年,卷,期,页码,ISSN,关键词,机构,摘要
351,,朱铭;,论高校辅导员在社会主义核心价值观建设中的角色定位,理论与改革,2014,No.200,6,179-182,1006-7426,高校辅导员;社会主义核心价值观建设;角色定位,西南交通大学;成都纺织高等专科学校;,"高校辅导员作为高校德育工作的骨干力量,是教育引导青年学生树立正确、科学的价值观,让社会主义核心价值观在高校得到有效传播的重要力量。但在高校推进社会主义核心价值观建设的实际工作中,大多数辅导员扮演着""旁观者""角色,并未真正参与到社会主义核心价值观的理论传播和价值引导中来。高校应注意调动辅导员的积极性,使其从""旁观者""转化为""参与者"",积极参与到社会主义核心价值观的建设中来。"
352,,孔祥彬;高平平;史维生;,职业化专业化背景下高校辅导员工作“1+X”模式的设计,西南交通大学学报(社会科学版),2014,v.15;No.84,6,128-132,1009-4474,高校辅导员;“1+1”模式;优化设计;辅导员职业化建设;辅导员专业化建设,西南交通大学党委办公室;西南交通大学学生工作处;,"目前,高校辅导员工作存在着思想政治教育主功能弱化、专业化动力不足、职业化瓶颈明显等普遍性、深层次的问题。辅导员工作""1+X""模式对现有辅导员工作体系进行优化设计,进一步明确辅导员在高校人才培养体系中的主体地位,畅通和拓宽辅导员职称、职务发展通道,充分发挥高校育人工作主体协同育人的作用,以期""解放辅导员"",从而加快推进辅导员职业化、专业化建设,实现辅导员""横向""和""纵向""的职业动态化发展,提高辅导员工作科学化水平。"
353,,王弢;,高校辅导员个人魅力提升路径探索,教育理论与实践,2014,v.34;No.524,33,16-17,1004-633X,高校辅导员;个人魅力;价格澄清;情感培养;学识增容;能力训练,安阳师范学院思想政治理论教学部;,"在高校,辅导员与大学生接触最多、交往最广,关系最密切、感情最深厚,辅导员的言行举止、学识水平、工作态度、办事能力等,以及由此而产生的个人魅力,不但有利于其工作的顺利开展,而且很多时候会在大学生的内心深处产生极其深远的影响。建设一支人格高尚、情感深厚、博学多才、形象好、语言美、意志坚、能吃苦、肯付出,在大学生眼中独具魅力的辅导员队伍,已经成为高校一项极为迫切的重要任务。"
354,,陈伟;乔学斌;,高校辅导员应对学生突发性事件能力探析,黑龙江高教研究,2014,No.247,11,102-104,1003-2614,高校辅导员;应对;学生突发性事件;能力,南京医科大学;,"高校学生突发性事件的发生,不仅是构建和谐校园的隐患,也给高校的学生管理带来新的挑战。作为大学生思想政治的引导者,在大学生突发事件的应对中,高校辅导员的应对能力提升显得十分重要,辅导员要加强对学生突发性事件的理论研究,明确角色与职责,掌握步骤与流程,完善策略与方法,积极预防与应对,使突发性事件有序、快速解决,减小损失。"
355,,李忠军;,以职业能力建设为核心推动高校辅导员队伍专业化发展,思想理论教育,2014,No.428,12,97-102,,高校辅导员;职业能力;专业化,东北师范大学党委、马克思主义学部;,"高校辅导员职业能力是高校辅导员履行高校学生工作职责、做好大学生思想政治教育工作所应具备的专业知识和专业技能的统称,既是促进高校辅导员有效开展工作的综合性能力,也是衡量高校辅导员是否合格的专业性能力。开展职业能力建设是推动高校辅导员专业化发展的核心内容与主要途径。《高等学校辅导员职业能力标准(暂行)》把高校辅导员职业能力分为基础层、中间层、高度层三个标准层级,不仅统一了我国高校辅导员职业能力构成和建设的政策标准,更明晰了立足职业准入、职业考核、培养与发展及退出等维度加强高校辅导员职业能力建设的依据和目标,是新时期提升高校辅导员职业能力、推动高校辅导员专业化发展的重要政策指南。"
356,,陈勇;朱平;,高校辅导员需要什么样的专业背景?——辅导员专业背景观辨析,思想理论教育导刊,2014,No.191,11,118-121,1009-2528,高校辅导员;专业背景;工作需要;发展需要,安徽师范大学;《高校辅导员学刊》编辑部;安徽师范大学政治学院;,"对高校辅导员应有的专业背景,代表性的意见主要有三种:专业淡化论、人文社科论、学生对口论。这三种意见各有其现实与理论依据,也各有利弊。讨论辅导员所需专业背景,不能混淆不同专业之间的比较与专业素质和非专业素质的比较、要区分和处理好工作主要职责和一般职责、目的性工作和手段性工作的关系、要坚持工作职责需要和自身发展需要相统一、要坚持工作的独特性和协作性的统一、要坚持必要性和可能性的统一和""两利相交取其大,两害相交取其小""的原则。在目前情况下,辅导员应该有思想政治教育、管理学、教育学、社会学和心理学以及就业指导、学生事务管理等专业背景。"
357,,郑光贵;魏强;,高校辅导员工作与思政课教学结合的探索与研究,思想理论教育导刊,2014,No.191,11,122-124,1009-2528,高校;辅导员;工作;思政课;教学,安徽商贸职业技术学院思想政治理论课教学部;,"高校辅导员工作与思政课教学相互分离,是影响高校思想政治教育效果的重要原因之一;搭建高校辅导员工作与思政课教学有机结合的合作平台,是提高思想政治教育的实效性的有效途径;高校应从制度、工作机构和机制的建设上,为高校辅导员工作与思政课教学的结合创造有力的保证条件。"
358,,朱平;齐玉龙;,全科医生制度对高校辅导员专业化建设的启示,中国高等教育,2014,No.531,20,40-43,1002-4417,辅导员专业化;专业活动;专科医生;医疗卫生队伍;辅导员培训;思想政治教育;专职辅导员;思政理论课;公共卫生;研修基地;,安徽师范大学政治学院;蚌埠医学院党委;,"从职业活动的人本性质说,医生和高校辅导员都是维护人的健康的工作,前者主要维护居民的身体或生理的健康,后者主要维护大学生的心理和精神的健康。两者又都是专业性很强的工作,需要专门的培养和训练才能胜任。当然,从专业活动的现状和专业发展的整体水平看,这两个职业或岗位还有很大的差距。人们谈到医生,自然会想到内科、外科、妇科、儿科等专科医生,而谈到高校辅导员,则会浮现出一个对大学生的学习、生活、交往、心理、"
359,,武建军;石昌远;梁媛;王文邦;,基于道德领导理论的发展性辅导员工作评价,现代教育管理,2014,No.297,12,70-73,1674-5485,辅导员工作评价;道德领导理论;发展式评价,东北大学;,"辅导员的工作性质与育人职能决定了辅导员工作的人性化与道德性,而单纯以效率和工具理性为核心的传统科层评价模式不利于辅导员工作评价的全面性与发展性。从道德领导管理理论愿景模式与价值引领的核心观点出发,以培养组织成员的自主管理能力为目标,坚持定性评价与定量评价相统一、常规工作与创新工作相结合与数量评价与质量评价并重的评价思路,以评价目标体系构建为手段,建立发展式辅导员工作评价,走一条以评价促进发展的辅导员队伍建设道路。"
360,,邹时建;,新时期留学生辅导员工作内容及路径探微,教育评论,2014,No.186,12,62-64,1004-1109,留学生辅导员;工作切入点;规范管理;入学教育;安全教育,江苏大学;,"做好留学生辅导员工作对提高留学生教育质量、方便留学生在华生活具有重要意义。本文介绍了留学生辅导员工作的主要内容,提出留学生辅导员需完善留学生管理规定、利用网络信息技术加强留学生日常管理、发挥留学生干部及留学生自治团体的作用,以逐步完善留学生辅导员工作路径。"
361,,张立鹏;胡海霞;,职业化专业化视阈下高校辅导员实践技能提升的思考——以河北省高校辅导员职业技能大赛为例,教育评论,2014,No.186,12,65-67,1004-1109,高校辅导员;实践技能;提升;以赛代练,河北师范大学;,"加强对高校辅导员实践技能的培训,是提升辅导员职业能力和专业水平的重要保障。河北省率先组织开展高校辅导员职业技能大赛,通过""以赛代练""的培训方式促进全省高校辅导员实践技能的提升。辅导员职业技能大赛作为一个培训平台,是推动辅导员队伍职业化、专业化发展的有益探索与积极尝试。"
362,,缪子梅;,强化“五个意识”提升高校辅导员专业发展自觉,中国高等教育,2014,No.532,21,40-42,1002-4417,辅导员专业;专业发展水平;思想政治教育;职业化建设;能力标准;学历结构;知识结构;人生导师;心理活动;规范化工作;,江苏大学;,"自2004年《中共中央国务院关于进一步加强和改进大学生思想政治教育的意见》下发以来,我国高校辅导员队伍建设形成了一套选拔、培养、激励、保障的体制机制,辅导员队伍的年龄结构、学历结构、知识结构日趋合理,专业化、职业化建设不断加强。当前,高校辅导员队伍的规模在增加,也势必需要整体质量的持续提升。教育部今年3月印发了《高等学校辅导员职业能力标准(暂行)》(以下简称《能力标准》)。贯彻落实《能力标准》,提高辅导员自身专业发展水平,关键在于强化辅导员的专业发展意识,提升专业发展自觉。一、身份意识:实现从模糊到清晰的转变,强化辅导员"
363,,尹万东;,高校辅导员人文素质提升的路径与对策,福州大学学报(哲学社会科学版),2014,v.28;No.124,6,105-108,1002-3321,高校辅导员;人文素质;务实践行,福州大学电气工程与自动化学院;,"提升高校辅导员人文素质,有利于提高思想政治教育质量、提升辅导员个人职业等级、拓展辅导员晋升高级职务的空间。要走出高校辅导员事无巨细的工作影响、自身学历背景的限制、自身懈怠放松的困境,必须本着博学、审问、慎思、明辨和笃行的务实精神和践行实际,不断提升自身的人文素质。"
364,,江娥;,高校心理辅导员专业化发展的角色定位,思想理论教育,2014,,11,83-86,1007-192X,心理辅导员;专业化;角色定位,东华大学管理学院;,"心理辅导员是高校辅导员队伍的组成部分,是高校心理健康教育的基层力量,在高校三级心理健康教育网络中的起着承上启下的重要作用。这支队伍的专业化发展既是实际工作的需要,也是自身成长的需求。加强心理辅导员在大学生心理健康方面的教学、咨询、危机干预和科研四位一体的角色定位,能够帮助心理辅导员在专业化的道路上更好地成长。"
365,,卢吉超;,辅导员队伍专业化建设路径探析——以辅导员职业能力标准为视角,思想理论教育,2014,,11,102-105,1007-192X,辅导员;专业化;职业能力标准;多学科协同,上海大学学工办;,"高校辅导员是履行高校学生工作职责的专业人员,专业化建设是辅导员队伍科学发展的必然趋势。构建辅导员职业能力标准是辅导员队伍专业化建设的内在要求,是提升辅导员职业内涵的切实保证和增强辅导员职业认同的现实诉求。辅导员职业能力标准要求辅导员具备宽广的基础知识储备和系统的专业知识体系,所以高校辅导员专业化建设需要多学科协同努力。"
366,,王新学;,论生命教育在辅导员思想政治教育工作中的延展,理论月刊,2015,No.397,1,70-73,1004-0544,生命教育;思想政治教育;辅导员,上海理工大学学生处;,"人的生命存在是一切社会活动的基础。作为一项抽象的、渗透着丰富生命意义的生命教育,在教育体系中处于基础性地位,发挥举足轻重的作用。高校大学生思想政治教育辅导员应将生命教育作为其教育思想的核心理念之一,将生命教育作为自己的核心工作来抓,把生命教育渗透于自己日常的教育、管理与服务工作之中,努力让学生感悟到生命的真谛,有效促进学生素质的提升和人格的完善,推动校园和谐、稳定、健康发展。"
367,,范晓云;许佳跃;,高校辅导员胜任力培训体系研究,思想教育研究,2015,No.246,1,86-89,1002-5707,高校辅导员;胜任力;培训体系,南京师范大学教育部高校辅导员培训和研修基地;南京理工大学学生工作部;,"高校辅导员是大学生思想政治教育的骨干力量,辅导员素质对高校人才培养质量提升有重要影响。高校辅导员胜任力有其特定的内涵,针对传统高校辅导员培训方式中辅导员胜任力培养的缺陷与不足,应该构建基于胜任力视域的高校辅导员培训体系,从而完善高校辅导员培训体系,提高高校辅导员胜任力。"
368,,周春国;白仲琪;曹欢欢;,大学生对辅导员信任影响因素探究,思想教育研究,2015,No.246,1,90-93,1002-5707,信任;大学生;辅导员;影响因素,吉林大学学生工作部;吉林大学心理健康指导中心;,"高校中大学生与辅导员的关系是高校师生关系中最基础的类型,大学生对辅导员的信任又是这种关系中最核心和最重要的部分,不仅与学生自身和学校的发展密切相关,而且对学生人际信任的良好发展和高校辅导员工作的开展具有重要的意义。在借鉴以往信任研究成果的基础上,采用《人际信任量表》、《人际关系综合诊断量表》、《大学生对辅导员信任问卷》测量大学生自身的人际信任程度、人际关系水平,和大学生对辅导员信任影响因素水平,最后针对研究结果提出建议,可以在丰富高校信任和师生信任研究的同时,为提高大学生对辅导员信任水平提供一定的理论依据和参考。"
369,,李志鹏;,教育国际化背景下高校辅导员境外培训研究,思想理论教育,2015,No.430,2,105-108,1007-192X,教育国际化;高校辅导员;境外培训,上海海事大学学生处;,"高等教育国际化已成为教育发展趋势,如何提高高校辅导员的国际化视野及相关能力,如何制定更全面、细致、国际化的高校辅导员培训体系,是我们亟需解决的问题。通过实证调研发现,当前高校辅导员境外培训还存在着项目总体数量偏少且分布不均匀、境外培训覆盖面较窄且人员结构不合理、培训目标和培训内容不够明确、参与性强的培训方式欠缺、前置培训力度不足、留学生辅导员参与境外培训比例较少、境外培训与国内工作实际衔接有待优化等问题。进一步加强高校辅导员境外培训工作,应统一思想,提高认识,重视辅导员赴海外培训工作的开展;保障经费,拓宽渠道,构建国家、省(市)、高校三级境外培训体制;形式多样,突出实践,形成多元互补的项目体系;分类组织,需求导向,形成公正合理的选拔机制;强化语言,优化内容,做好前置培训工作;分层要求,增压求效,建立境外培训考核机制;转变理念,着眼需求,增强境外培训对国内工作的助推作用。"
370,,牟晖;,例会模式下辅导员在党建基础教育中的作用,黑龙江高教研究,2015,No.249,1,129-131,1003-2614,党建工作;辅导员;例会模式;重要保障,北京航空航天大学经济管理学院;,"在高校招生规模不断扩大的背景下,高校的党建工作成为高校培养创新型党员人才的基础,是高校为社会输送高素质党员人才的保障。辅导员是高校管理和教育工作最为活跃的团体,也是与学生接触最为密切的领导层,在提升大学生党员素养、加快大学生党建教育工作建设过程中发挥着积极的作用。例会模式是高校开展党建基础教育的基本模式,在例会模式的背景下,充分调动辅导员的积极性和主动性,成为实现高校党建教育突飞猛进发展的重要保障。"
371,,何萌;,高校辅导员核心能力结构模型与考评体系的构建,西安财经学院学报,2015,v.28;No.144,2,115-120,1672-2817,高校辅导员;辅导员核心能力;思想政治教育能力;学生发展指导能力,山东大学马克思主义学院;,"文章从""核心能力""与""一般能力""的区别出发,从高校辅导员的一般能力中归纳出高校辅导员核心能力的概念。通过对现有理论成果的梳理和对山东部分高校的实际调研,总结分析出思想政治教育能力、学生发展指导能力是高校辅导员核心能力的构成要素,并通过论证构建了高校辅导员核心能力结构模型。此外,基于高校辅导员的工作实际和学生发展需求,从模型基本结构出发,设计出高校辅导员核心能力考评体系统计相关测评数据,通过高校辅导员核心能力测评软件(CCESC)实现考评过程。"
372,,张洁;,基于全国高校辅导员年度人物的辅导员专业化研究,思想理论教育,2015,No.431,3,94-99,1007-192X,全国高校辅导员年度人物;辅导员;专业化,上海大学学生社区管理部;,"通过对全国高校辅导员年度人物专业化的分析发现,优秀辅导员在专业化方面呈现出以下特征:在系统理论方面,具备心理健康和职业发展等综合知识,初步构建了学生工作理论指导体系;在专业权威方面,在学生事务和个体发展等方面有一定的话语权,具备了学生工作的专业权威;在社会认可方面,以实际作为促进了学生的成长,得到了学生、家庭和社会的认可;在伦理守则方面,对学生和工作具有强烈的责任心,爱是辅导员共同信奉的伦理守则;在专业文化方面,凭借""亦师亦友亦亲人""的专业形象,构筑了亲情式的专业关系。这为我们推进辅导员专业化提供了参考。在推进辅导员专业化的过程中,关键是要着力处理好技术型的事务管理与反思型的思想教育、个体内在的自我发展与整体外在的体制推动、专业形象的权威性与专业关系的情感性三对关系。"
373,,杨宾峰;,提升辅导员个体深度辅导与帮助技能的关键因素,思想理论教育,2015,No.432,4,100-103,1007-192X,辅导员;问题学生;深度辅导;帮助技能,南京大学教育研究院;河南科技学院学工部;,"从学生工作实践来看,个体深度辅导作为高校辅导员工作的重要内容,是占用时间和精力最多的棘手工作,它是高校学生工作发展到当下的时代需要,更是辅导员的职责所在。开展深度辅导,辅导员应具备良好的个性品质、熟练的交流沟通技巧、评估和解决问题的技能、适时的自我调整意识。"
374,,周谷平;王胡英;,高校优秀辅导员基本角色形象及其特征——基于全国高校辅导员年度人物评选事迹的文本分析,高等教育研究,2015,v.36;No.239,1,65-70+83,1000-4203,高校优秀辅导员;角色形象,浙江大学教育学院;杭州电子科技大学浙江高等教育研究院;,"本文通过对60位全国高校辅导员年度人物评选事迹的文本分析,揭示了其基本角色形象,即爱的守护者、专业引导者、""舞台""搭建者以及理论探索者,由此获得的启示是:高校辅导员成长需要培养""三大职业素养"",即爱生敬业、专业化发展和学习与创新,高校辅导员成长的关键点和难点需处理好""全""与""专""的关系。"
375,,程德华;,高校辅导员职业心理研究评述——基于CSSCI期刊来源论文的计量与分析,教育评论,2015,No.189,3,83-85+88,1004-1109,高校辅导员;职业心理;文献综述,莆田学院;,"以CSSCI2004-2014年的数据为基础,从作者分布、期刊分布、研究方法分布、受资助情况等方面对高校辅导员职业心理研究情况进行统计,探析当前辅导员职业心理研究热点和辅导员胜任力、职业倦怠心理等研究进展情况,以及辅导员职业心理的未来研究方向。"
376,,唐文;,高校辅导员关爱特殊学生群体的要素、途径及意义,黑龙江高教研究,2015,No.250,2,71-73,1003-2614,辅导员;特殊学生群体;关爱;要素;途径;意义,深圳信息职业技术学院学生处;,"辅导员是大学生健康成长的指导者和引路人,关爱特殊学生群体是应尽的职责,关爱需要辅导员的关心、理解、尊重、希望、责任,需要辅导员转换角色,注重道德修养,强化交往能力,提高关爱行动的实效性。关爱的实施有利于构建和谐校园,践行教育公平,落实""学生成功服务""理念,为特殊学生群体的健康成长营造公正、自由、平等的校园环境。"
377,,费萍;,试论辅导员贫困生资助育人能力的提升,黑龙江高教研究,2015,No.250,2,133-135,1003-2614,贫困生资助;高校辅导员;资助育人能力,西南大学马克思主义学院;重庆理工大学计算机科学与工程学院;,"贫困生资助育人工作是大学生日常思想政治教育与管理工作的重要组成部分。高校辅导员作为贫困生资助育人工作的具体实施者,其资助育人能力的高低直接影响着工作的成效。当前,高校贫困生资助育人工作存在的问题如下:家庭经济困难学生认定机制不科学、助学贷款体制不完善、勤工助学机制不健全、贫困生思想道德和心理问题突出等。针对这些问题,高校辅导员应强化的资助育人能力有资助管理能力、资助监督能力、人文关怀与心理疏导能力。"
378,,雷洪峰;朱凌云;,首都高校辅导员工作绩效评价研究——基于大学生满意度调研的分析,教育理论与实践,2015,v.35;No.536,9,37-39,1004-633X,高校辅导员;工作绩效评价;大学生满意度,中央财经大学;,"通过对六所首都高校大学生对于辅导员工作质量的重要性和满意度的调查表明:大学生对辅导员七大特征属性的重要性和满意度排序与大学生需求完全吻合,理科大学生对辅导员""学习指导""预期更高,分校区低年级大学生对辅导员工作预期和评价均高于校本部高年级大学生,""学生干部""大学生对辅导员工作更加认可。因此,高校辅导员角色应更加多元化,兼具教育、管理和服务三重属性,""高重要性—低满意度""与""高重要性—高满意度—高绩差""指标是改进高校辅导员工作的着力点,""以学生为中心""和""对个体的关心""是提升高校辅导员工作成效的重点。"
379,,李海波;郝菲菲;,高校辅导员职业化建设的问题及对策,教育理论与实践,2015,v.35;No.536,9,40-41,1004-633X,高校辅导员;职业化;管理机制,浙江外国语学院科技学院;浙江外国语学院中国语言文化学院;,"职业化发展是高校辅导员队伍建设的重要方向。当前,我国高校辅导员职业化建设存在的问题是社会对高校辅导员职业缺乏认可、高校辅导员队伍缺乏稳定性、高校辅导员缺乏职业化知识技能、高校辅导员发展与成长没有保障等。加强高校辅导员职业化建设,要致力于高校辅导员职业化理论体系的构建,加强高校辅导员自身队伍建设,完善高校辅导员管理机制,大力推动高校辅导员行业协会发展。"
380,,郝颖;,高校辅导员“立德树人”的实现路径研究,山西财经大学学报,2015,v.37,S1,154-155,1007-9556,立德树人;高校辅导员;实现路径,重庆工商大学经济学院;,"立德树人是高等教育的根本任务,是高校辅导员应当履行的神圣使命。高校辅导员只有履行立德树人使命,才能开创工作的新局面,从而帮助大学生成为社会主义现代化建设需要的合格拔尖创新人才。高校辅导员要实现这一使命就必须投入到""爱学习、爱劳动、爱祖国""的实践中,成为""终身学习""的示范者、""改革创新""的开路者、""社会主义""的践行者。"
381,,李琳;,高校辅导员职业能力提升的三个着力点,思想理论教育导刊,2015,No.195,3,124-126,1009-2528,高校辅导员;职业能力;提升,中国矿业大学计算机学院;,"高校辅导员是开展大学生思想政治教育的骨干力量,承担着教书育人、立德树人的重要职责。做好高校辅导员工作应坚持继承与创新相结合,提升高校辅导员职业能力要着重把握好三个着力点:一要准确把握高校辅导员的角色定位;二要注重高校辅导员素质的全方位完善;三要提高高校辅导员工作的科学化水平。"
382,,鲁烨;,国际化与本土化:留学生辅导员职业素养及其建构,黑龙江高教研究,2015,No.252,4,83-85,1003-2614,大学国际化;留学生;留学生辅导员,扬州大学青年发展研究所;河海大学马克思主义学院;,"全球范围内的高等教育的国际化加快了我国高校面向国际开放办学的进程,也改变了中国学生""走出去""的单一流向,留学生生源的""逆差""正逐步缩小。随着来华留学生规模的逐年递增,留学生的教育、管理与服务的质量问题日益凸显,作为留学生教育、管理与服务工作的承担者,留学生辅导员如何从""专职""走向""专业"",成为一支专业化的保障队伍,需要在对留学生个性特点分析的基础上,构建出留学生辅导员的职业素养。"
383,,王显芳;王肖肖;,新时期辅导员队伍专业化发展的困境、机遇及途径,思想教育研究,2015,No.249,4,98-101,1002-5707,高等教育;辅导员;专业化,北京师范大学教育部高校辅导员培训和研修基地;北京师范大学马克思主义学院;,"当前,高校辅导员队伍在往专业化方向发展的过程中还存在一些阻碍因素,要想消除这些因素就必须抓住机遇,探索在实现辅导员队伍专业化的途径,促进体制机制创新突破。分析阻碍辅导员队伍专业化发展的困境,并阐述推动辅导员队伍专业化发展存在的机遇,可以提出有助于辅导员队伍专业化的发展之路,推动辅导员队伍专业化发展的进程。"
384,,张益;,高校辅导员职业能力分级培训体系的层级图式模型建构研究,思想教育研究,2015,No.249,4,102-105,1002-5707,辅导员;职业能力标准培训体系;层级系统,上海师范大学学生工作部;,"高校辅导员队伍建设应当在职业能力标准框架下构建层级系统的图式模型,建立基础层、发展层、专家层三级模式的高校辅导员层级系统,着力发展辅导员的政治素养与道德引领、业务凸显与自治服务、科研创新与榜样示范等能力,坚持围绕辅导员层级系统开展职业能力分级培训,努力探索体系化、层级化的高校辅导员培训管径。"
385,,史慧明;,论高校辅导员职业伦理的建构,思想理论教育,2015,No.433,5,93-98,1007-192X,高校辅导员;职业伦理;专业伦理;智性知识;伦理自主;道德评价,南京师范大学公共管理学院;,"高校辅导员职业伦理属于教育伦理的范畴,但是又不同于一般高校教师的职业道德,在高等教育大众化的背景下,在辅导员职业走向专业化的过程中,道德观念、职业价值理念势必异常冲突,辅导员工作制度在传统的沉重负担下走向现代化的过程必然伴随着传统职业道德走向现代化的过程。建构辅导员职业伦理在观念层面要实现从一般伦理向专业伦理的观念转换,在知识层面要实现从经验性知识到智性知识的把握,在权利层面要完成从专业自主向伦理自主的构建,在评价层面要实现主导评价的功利性向道德性的转移。"
386,,黄庆胜;林琳;,高校辅导员引导大学生正确认识和对待宗教问题研究,思想教育研究,2015,No.248,3,108-111,1002-5707,高校辅导员;大学生;宗教,集美大学水产学院;集美大学诚毅学院管理系;,"大学生对宗教问题存在宗教知识模糊、对国家宗教法规政策不了解、对宗教向高校的渗透认识不到位、对邪教辨别能力弱等问题。高校辅导员要在增强宗教辩驳能力基础上,通过加强理想信念教育、深化马克思主义宗教观教育、扩大宗教政策宣传、强化宗教事务管理、活跃课余文化活动、完善心理疏导和人文关怀等途径,引导大学生正确认识和对待宗教问题。"
387,,,第七届全国高校辅导员年度人物风采展示,思想理论教育导刊,2015,No.197,5,73-76,1009-2528,风采展示;工作研究会;人物评选活动;思想政治工作;中国教育报;学院辅导员;李磊;中国人民大学;新华网;中共党员;,,"由教育部思想政治工作司指导、全国高校辅导员工作研究会和中国教育报主办、新华网和""中国大学生在线""提供网络支持的第七届全国高校辅导员年度人物评选活动日前揭晓。经过入围、提名、终评答辩三个阶段,北京科技大学李磊等11名辅导员获评第七届""全国高校辅导员年度人物"",中国人民大学袁世琨等39名辅导员获评第七届""全国高校辅导员年度人物""提名奖。"
388,,马娟;,论事业化价值导向下的辅导员发展路径,高校教育管理,2015,v.9;No.52,4,97-101,1673-8381,高校辅导员;事业化;发展路径,广东农工商职业技术学院学生工作处;,"辅导员职业化、专业化、专家化(""三化"")是一个承前启后、先行后续的发展过程,而事业化价值导向与""三化""有着密切的联系。""三化""在发展的同时面临多重困境。引入事业化价值导向,以""三要素""测试定辅导员选拔机制,以""二元分割""定辅导员管理机制,以""差异化""定辅导员发展机制,将有利于""三化""从外在的制度约束转变为辅导员内在的价值追求,从而实现""三化""与事业化的统一发展。"
389,,弥志伟;袁伟;贾安东;,中美高校辅导员职业能力标准对比及启示,黑龙江高教研究,2015,No.253,5,47-50,1003-2614,中美;辅导员;职业能力标准;对比,北京化工大学生命科学与技术学院;黑龙江省教育厅学生处;四川美术学院学工处;,"以中美两国高校辅导员的职业标准为切入口,比较两国高校辅导员职业能力标准的制定理念、制定策略和具体内容,可以得出促进我国辅导员队伍建设和能力提升的若干启示:以体制改革促进辅导员专业化,推进大学生学习与发展理论本土化,以思政教育内涵发展提升工作人性化,通过开展评估评价提升工作科学化等。"
390,,曾艳;毕明;,高校辅导员危机处理能力探析,黑龙江高教研究,2015,No.253,5,99-101,1003-2614,危机;高校辅导员;危机处理;能力,广东财经大学地理与旅游学院;广东财经大学心理咨询中心;,"近年来,大学生危机事件频繁发生。高校辅导员作为危机事件管理的主要参与者,危机处理能力还有待提高。文章采取理论研究和案例分析相结合的方法,探讨危机事件发生后,在危机处理阶段辅导员应如何发挥控制能力、协调沟通能力、决策能力、危机干预能力,以便最快、最有效地解决危机,最大限度地维护高校的和谐与稳定。"
391,,张彦;,管理理念视域下的高校辅导员队伍建设探究,黑龙江高教研究,2015,No.253,5,106-108,1003-2614,管理理念;高校辅导员;队伍建设;自由化因素分析,广东药学院药科学院;广州中医药大学临床药理所;,"""人性化""理念的深入探索,为高校辅导员队伍建设提供了各个方面的支持,使其能够接受高等教育发展所提出的新挑战。在管理理念的创新性研究中,自我强化是根本途径,对辅导员队伍建设整体思想层次的提升具有内在的推动作用,促使其形成了以管理理念为前提的高校辅导员队伍建设总路线。坚持高校辅导员队伍建设与发展思路,对管理理念的内部各角度因素都进行充分分析,促使自由化高校辅导员队伍建设思想能够得到有效回归。研究表明,高校辅导员队伍建设坚持以管理理念的创新为中心,能够促使高校辅导员队伍建设途径得到有效拓宽。"
392,,陈晓梅;,研究生辅导员:从角色尴尬到身份认同,研究生教育研究,2015,No.27,3,33-37,2095-1663,研究生辅导员;角色尴尬;身份认同,华南师范大学政治与行政学院;华南农业大学;,"由于工作形势、工作对象、工作任务的特殊性,研究生辅导员面临着来自现实的角色挑战和教育对象、合作主体的角色质疑,只有充分认清研究生辅导员的角色内涵、自身认同并走职业化、专业化、学术化的职业路径,才能获得教育对象和合作主体的认同,突破""角色尴尬""的境地,取得职业身份的认同和成功。"
393,,费萍;,高校辅导员职业能力培养论析,教育评论,2015,No.191,5,76-78,1004-1109,高校辅导员;职业能力培养;思想政治教育,重庆理工大学;西南大学;,"加强高校辅导员职业能力培养,有利于提升高校辅导员职业能力,促进高校辅导员队伍的专业化、职业化。文章根据《高等学校辅导员职业能力标准(暂行)》,分析高校辅导员职业能力结构,并从组织和个人两个层面探寻高校辅导员职业能力培养的实现途径。"
394,,黄宗喜;,辅导员应对高校突发事件的策略研究——基于危机管理的4R理论视角,教育评论,2015,No.191,5,79-81,1004-1109,辅导员;突发事件;策略,华侨大学;,"文章以危机管理的4R理论为分析框架,结合辅导员工作实际,提出辅导员应对高校突发事件的缩减策略、预备策略、反应策略和恢复策略。并从高校管理机制和辅导员队伍建设两个层面提出了辅导员应对高校突发事件的现实困境。"
395,,叶绍灿;李永山;钟军;,基于结构方程的高校辅导员职业生涯规划研究,中国青年研究,2015,No.235,9,99-104,1002-9931,高校;辅导员;职业生涯规划;结构方程,合肥工业大学管理学院;合肥工业大学人文与素质教育中心;合肥工业大学学生资助服务中心;,"从现有的研究成果看,有关高校辅导员职业生涯规划的研究,描述性研究较多,实证性研究较少。本文在调查的基础之上,应用SPSS和AMOS软件对调查数据进行分析处理发现:高校辅导员职业生涯规划可以从职业生涯规划认知、个体职业生涯规划以及组织职业生涯规划等三个方面进行研究;其结构方程模型的负荷因素上体现了马斯洛需求层次理论,即先是满足基本需求,然后实现全面发展;其结构方程模型内容的选择上体现了我国高校辅导员职业生涯规划的重发展轻待遇、重科研轻教学、重经验轻学习等三个特点。"
