作者,题名,文献来源,年,期,页码,关键词,机构
,欢迎订阅 红旗文稿,党建,2014,11,66,红旗文稿;求是杂志社;中共中央机关;政治理论;理论战线;理论热点;宣传事业;《求是》杂志;社科研究;教学工作;,
本刊编辑部;任蕾;,加强社会思潮研究和引领 牢牢掌握意识形态工作领导权,思想理论教育导刊,2014,10,1,意识形态工作;思想理论建设;新自由主义;意识形态领域;思想政治教育;共产主义信仰;思潮研究;政治立场;自由主义思潮;历史虚无主义;,
李庆华;谭蕾;,高校青年教师认同社会主义核心价值观探析,思想理论教育导刊,2014,10,106-109,高校;青年教师;社会主义核心价值观;认同,哈尔滨理工大学马克思主义学院;
王建南;,把握高校意识形态工作复杂性和主动权,思想教育研究,2014,10,53-56,高校意识形态;复杂性;主动权,福建师范大学党委;
赵涛;,《四库全书总目》的诸子学思想探析——以其子部提要与分纂稿比较为中心,图书情报工作,2014,17,143-148,《四库全书总目》;分纂稿;诸子学思想;乾嘉学术;诸子学批评,河南大学文献信息研究所;
战迪;,播音与主持艺术批评系统的功能探析,中国广播电视学刊,2014,11,72-74,播音主持;时代风尚;安德烈·巴赞;批评理论;艺术批评;著名理论家;系统的功能;时代观念;创作理论;新闻播音;,深圳大学师范学院艺术系;
左鹏;厉彦龙;,社会主义核心价值观与高校社会思潮引领,思想理论教育,2014,11,13-18,社会主义核心价值观;高校社会思潮;高校师生,北京科技大学马克思主义学院;
白立新;,略论党的意识形态工作话语权的内涵与本质,思想政治教育研究,2015,5,106-109,意识形态工作;话语权;概念;内涵;本质,东北师范大学马克思主义学部;
庄娜;,当今日本青年“民族主义”及“保守化”的问题所在,中国青年研究,2015,12,109-115+55,日本青年;民族主义;保守化;爱国;社会思潮,中国青年政治学院;
,欢迎订阅求是,求是,2015,21,65,红旗文稿;求是杂志社;中共中央机关;核心学术期刊;政治理论;理论战线;中文核心期刊;理论热点;宣传事业;《求是》杂志;,
,红旗文稿 抓住事物的根本 阐扬彻底的理论,求是,2015,20,65,红旗文稿;求是杂志社;核心学术期刊;理论战线;中文核心期刊;宣传事业;中共中央机关;政治理论;《求是》杂志;国外代号;,
,孙来斌:守牢党和国家意识形态工作的前沿阵地,求是,2015,19,64,意识形态工作;前沿阵地;党建工作会议;思政课;思想文化交流;学校园;易感人群;事业接班人;主流价值观念;政治理论;,
李亚员;,大学生思潮:内涵、特征及其研究价值,理论月刊,2015,12,59-63,社会思潮;大学生思潮;社会主义核心价值体系,东北师范大学思想政治教育研究中心;
李晓光;王骏;,论高校思想政治理论课成为引领社会思潮主渠道的原则与方式,思想理论教育导刊,2015,11,88-91,思想政治理论课;社会主义核心价值体系;社会主义核心价值观;社会思潮,北京科技大学马克思主义学院;
张景华;,论“翻译暴力”的学理依据及其研究价值——兼与曹明伦教授商榷,中国翻译,2015,6,65-72,翻译暴力;韦努蒂;学理依据;研究价值,湖南科技大学;
胡文涛;,论中国思想文化领域新变化与文化安全治理对策,学术论坛,2015,11,141-144,思想文化;价值观;文化安全;治理对策,广东外语外贸大学外国文学文化研究中心;广东外语外贸大学国际问题研究所;
周良书;,五四时期“历史虚无主义”在中国之影响及其检讨,哲学研究,2015,12,18-22,五四时期;马克思主义;历史虚无主义,北京师范大学马克思主义学院;
杨宗红;,尊情·厚生·守贞——明清世情小说“行权”的文化阐释,孔子研究,2015,6,55-63,世情小说;行权;尊情;厚生;贞节,重庆师范大学文学院;
詹志华;,论当代中国利益群体的演化及对策,马克思主义研究,2015,11,118-125,利益群体;利益集团;阶级;阶层,福州大学马克思主义学院;
李辽宁;,当前我国意识形态建设亟须澄清的几个理论问题,马克思主义研究,2015,12,114-120+158,意识形态;非意识形态化;社会思潮;社会主义核心价值观,海南大学马克思主义学院;
曾令辉;,论构建培育和践行社会主义核心价值观长效机制的切入点与维度,思想教育研究,2015,12,51-54,社会主义核心价值观;培育;践行;长效机制,广西师范学院马克思主义理论研究基地;
雷开春;杨雄;,我国青年社会思潮新动向及政策建议,当代青年研究,2015,6,18-25,青年;社会思潮;群体差异,上海社会科学院社会学所;
石立春;林伯海;,全面建成小康社会进程中主流意识形态建设探微,广西社会科学,2015,12,12月18日,全面建成小康社会;主流意识形态;中国式现代化,西南交通大学马克思主义学院;
归泳涛;,专题研究:日本社会思潮和战略观念的新动向,国际政治研究,2015,6,9月10日,战略观念;内外政策;国家安全;新保守主义;地缘政治;历史认识;思想变化;权力真空;国际地位;国际秩序;,
姜卫玲;,近代知识女性报刊活动的历史考察,编辑之友,2015,1,103-106,近代知识女性;报刊活动;女性报刊,淮阴师范学院传媒学院;
于平;,文化新论四题,艺术百家,2015,1,49-55,当代中国;文化建设;城镇化;文化转型;以文化人;公共文化服务;文化创新,中华人民共和国文化部;
谢淼;,政治事件对于德国汉学发展的影响,中国文学研究,2015,1,122-126,德国汉学;殖民;纳粹;冷战;两德统一,湖南师范大学文学院;
郭淑新;,“罗教”与明代心学的遥契呼应,理论与现代化,2015,1,31-35,罗教;罗梦鸿;明代心学;王阳明;王艮,安徽师范大学政治学院;
刘纯;,近代中国民族复兴思想与实践——“第五届中国近代思想史国际学术研讨会”综述,教学与研究,2015,1,106-109,民族复兴;中国近代思想史;海内外学者;近代史研究所;公共话语;历史学院;历史人物;历史事件;中国社会科学院;张君劢;,上海海洋大学外国语学院;
王立新;,戈尔巴乔夫时期的社会思潮失控与苏联剧变,南京社会科学,2015,2,133-137+144,戈尔巴乔夫;改革;社会思潮;苏联剧变,南京师范大学公共管理学院;
金文雄;侯君荔;,试论主流媒体的文化担当与价值引领,电视研究,2015,1,28-30,电视文艺;电视从业人员;播出机构;人民群众;文化生活;综合频道;社会舆论环境;百姓日常生活;繁荣兴盛;《焦点访谈》;,国家新闻出版广电总局监管中心;
向冬梅;,理性审视民粹主义——基于当下国内社会思潮的论争,理论探讨,2015,1,167-169,理性审视;民粹主义;社会思潮;公平正义,哈尔滨工程大学马克思主义学院;
沈成飞;郭文亮;,对外和平与对内认同——当代中国民族主义发展流变与理性塑造,教学与研究,2015,2,80-88,民族主义;世界和平;民族认同;现代民族国家,中山大学社会科学教育学院;
李方祥;,“历史虚无主义”是意识形态领域特定的政治概念——基于党的文献的历史考察,思想理论教育导刊,2015,1,61-65,历史虚无主义;党的文献;政治概念,福建师范大学马克思主义学院;
郝立新;,学院建设要实现三个目标;教学研究要体现三个向度,思想教育研究,2015,1,17-18,教学研究;学院建设;教研机构;保障条件;政治理论课;专业知识;意识形态领域;中国人民大学;青年学生;思想阵地;,中国人民大学马克思主义学院;
张再林;,一种中国式的“家本主义”经济伦理范式的奠定——泰州学派经济伦理思想研究,陕西师范大学学报(哲学社会科学版),2015,1,24-31,泰州学派;家本主义;经济伦理;功利主义,西安交通大学人文学院;
张彦华;,民粹主义思潮与影视传媒的文化担当,学习与实践,2015,1,133-140,影视传媒;文化担当;民粹主义;集体无意识;泛政治化,中国矿业大学文学与法政学院;
王晨辉;,19世纪后半期英国工业学校与儿童管教,史学月刊,2015,3,81-90,英国;工业学校法;儿童管教;国家干预,北京师范大学历史学院;
陶成涛;,游仙诗与音乐关系探析——以乐府游仙诗的生成为考察中心,北京社会科学,2015,4,54-60,游仙诗;音乐;笙箫意象,西北大学文学院;
程丽红;焦宝;,清代传媒文化论,复旦学报(社会科学版),2015,2,117-125,传媒文化;清代社会变迁;传播;主流文化,辽宁大学新闻与传播学院;吉林省社会科学院;
李祥兴;,论建国初期的冬学运动与中共主流意识形态的建设,中南大学学报(社会科学版),2015,1,245-250,建国初期;冬学;主流意识形态;历史经验,安徽师范大学马克思主义研究中心;
秦龙;肖唤元;,马克思主义意识形态话语权的大众化,理论探索,2015,2,42-45,马克思主义;意识形态;话语权;大众群体,大连海事大学;
谈际尊;,社会思潮多样化发展态势与意识形态建设新策略,南京政治学院学报,2015,1,33-37,意识形态;多样化社会思潮;意识形态斗争文化化,南京政治学院马克思主义学院;
冯刚;,审视网络意识形态的一种独特视角——《网络民族主义思潮与当代青年政治社会化研究》评介,山东社会科学,2015,2,2,网络意识;民族主义思潮;社会化研究;青年教育;意识形态建设;文化交流;网络阵地;人才培养;大学生健康;社会生活;,教育部社科司;
郑洁;姬全生;,当代社会思潮对青年大学生思想和行为的影响及其引导,青年探索,2015,2,97-101,社会思潮;大学生;对策,重庆邮电大学马克思主义学院;
许斗斗;,论社会主义理论的革命特质与正义价值,广东社会科学,2015,1,57-62,社会主义;私有财产;无产阶级;革命;社会正义,华侨大学马克思主义学院;
姜胜洪;殷俊;,论主流媒体提高网络舆论引导能力的途径,兰州学刊,2015,3,199-204,主流媒体;网络舆论;途径,天津社会科学院舆情研究所;中国新闻史学会传媒教育实践基地;重庆工商大学艺术学院;
陈顺伟;,社会主义核心价值观“高校化”的形成过程探析——基于信仰心态的视角,西北民族大学学报(哲学社会科学版),2015,2,68-72,大学生;社会主义核心价值观;信仰;“高校化”,中央财经大学马克思主义学院;
杨军;,破解高校引领社会思潮的难题,思想理论教育,2015,4,21-24+32,高校宣传思想工作;社会主义意识形态;社会思潮,武汉大学马克思主义学院;
孙剑坪;,思想政治理论课教学必须坚持的几个重要原则,思想理论教育导刊,2015,2,100-104,马克思主义;科学性与思想性;核心价值体系,深圳职业技术学院人文学院;
熊静;,机器印刷术的传入与阅读转型,高校图书馆工作,2015,2,14-18,机器印刷术;阅读转型;经典阅读,北京大学;
张力;刘中杰;,压力环境中农业集体组织的结构变迁——以色列基布兹合作社及其启示,农村经济,2015,3,7月12日,合作社;基布兹;产权;农民合作经济组织,西南政法大学民商法学院;
张阿利;谢红艳;,浅析《兵出潼关》对抗战题材电视剧的新探索,中国电视,2015,2,44-48,电视剧创作;电视剧艺术;当代中国文化;这个世界;侠义精神;人物形象;革命历史题材;抗日英雄;西部人;传奇人生;,西北大学广播电影电视系;西北大学;
张三夕;毋燕燕;,《月令》单篇别行现象论析,海南大学学报(人文社会科学版),2015,1,115-122,月令;单篇别行现象;单篇别行原因;月令体著作,华中师范大学文学院;
贾付强;王凤祥;,意识形态安全视阈下的国家软实力建设,求索,2015,3,14-18,意识形态;意识形态安全;国家软实力,贵州师范大学历史与政治学院;云南大学马克思主义理论博士后流动站;
王源林;,万民法:基于全球正义的“现实乌托邦”——罗尔斯世界主义思想探究,求索,2015,3,63-67,万民法;现实乌托邦;全球正义;世界主义,中南大学公共管理学院;桂林电子科技大学生命与环境科学学院;
《学术前沿》编者;,自由主义的迷思,人民论坛·学术前沿,2015,4,4月5日,西方社会思潮;巨大型;亚当斯密;里德曼;密尔;思想学说;个人自由;西方现代化;近现代化;经济社会结构;,
汪煜;朱平;,世界主义社会思潮的形成及其悖论,南通大学学报(社会科学版),2015,2,38-42,世界主义;社会思潮;源起;内涵;悖论,蚌埠医学院思政部;安徽师范大学政治学院;
陶鹏;,微时代背景下的虚拟社会治理,求实,2015,4,76-83,微时代;社会治理;虚拟社会治理,中共河南省直机关党校信息中心;
欧阳恩良;杨红玲;,学习邓小平反对历史虚无主义的坚定立场,思想理论教育导刊,2015,3,29-34,邓小平理论;毛泽东思想;社会主义道路;历史虚无主义,贵州师范大学马克思主义学院;
谭春玲;张治银;,百年思潮与百年“中国梦”,湖南社会科学,2015,2,25-31,中国梦;近代社会思潮;爱国主义;民族主义,北京工业职业技术学院思政部;中共中央编译局博士后工作站;
杨军;,多样化社会思潮影响下的中国梦认同,当代世界与社会主义,2015,2,177-180,社会思潮;中国梦;认同,武汉大学马克思主义学院;
陈铭彬;,再论高校社会主义核心价值观教育的价值、困境与对策,西南民族大学学报(人文社科版),2015,5,194-196,高校德育;思想政治教育;社会主义核心价值观,广西民族大学党委宣传部;
梅荣政;,对马克思主义理论学科建设的几点建议,思想理论教育导刊,2015,3,76-80,马克思主义理论;学科建设;建议,武汉大学马克思主义学院;
杨志超;,加强青年教师思想政治工作的现实思考,思想理论教育导刊,2015,3,120-123,思想政治工作;青年教师;创新发展,兰州大学马克思主义学院;
孙兰英;,新媒体时代的文化软实力建设,红旗文稿,2015,7,31-32,新媒体时代;软实力建设;媒体建设;思想碰撞;阶层利益;新媒体发展;文化生活;话语体系;调整时期;信息基础设施;,天津大学马克思主义研究中心;
张宇;,马克思主义史学中国化之历程与成就的探索——读瞿林东等著《唯物史观与中国历史学》,史学理论研究,2015,1,149-151,马克思主义史学;中国历史学;瞿林;中国历史进程;中国史学;中国近代社会;史学著作;张剑平;史学方法;史学理论;,华侨大学马克思主义学院;
郑大华;,论九一八事变后“中华民族复兴”思潮的形成,史学月刊,2015,5,64-72,九一八;中华民族;民族复兴;思潮,中国社会科学院近代史研究所;湖南师范大学历史文化学院;
卢黎歌;程馨莹;,如何认识和分析历史虚无主义思潮,当代中国史研究,2015,1,121,历史虚无主义;形态效应;历史真实;学术方法;历史结论;政治目的;历史真相;“人性化”;历史人物;定距离;,
任鹏;,后现代的逻辑与述评,贵州社会科学,2015,6,28-33,现代性;后现代性;进路逻辑;范式逻辑;辩证视角,东南大学;重庆三峡学院;
张传泉;,全球化背景下中国共产党意识形态安全,理论月刊,2015,5,22-26+40,全球化;中国共产党;马克思主义;意识形态安全,北京大学马克思主义学院;
刘志飞;祝黄河;,中国特色社会主义意识形态的功能定位及其实现路径,江西财经大学学报,2015,3,102-109,意识形态;中国特色社会主义;功能定位;实现路径,江西师范大学政法学院;
戴立兴;,科学引领社会思潮必须正确处理六个关系,红旗文稿,2015,10,18-20+1,中国传统文化;思想政治教育;文化保守主义;西方文化;解放思想;意识形态领域;不争论;精神家园;自由主义思潮;政治原则;,中国社会科学院马克思主义研究院;
王秋梅;,主流引领与和谐共生——社会主义主流意识形态建设的关键,理论与改革,2015,3,23-25,共生;和谐;主流意识形态;非主流意识形态,广西师范大学;
王小涛;,当前我国的舆论风险及其化解,理论探索,2015,3,95-98,舆论风险;预警防控机制;风险防控管理体系;多中心合作共治机制,山西财经大学;
石亚玲;王树荫;,邓小平理想信念教育思想述论,思想教育研究,2015,5,20-24,邓小平;理想信念;理想信念教育,北京师范大学马克思主义学院;
胡澎;,从《日本学刊》看中国的日本社会研究,日本学刊,2015,S1,70-81,日本学刊;社会研究;大众传媒;人口变动;社会运动;社会政策;社会福利;学术交流;青少年犯罪;养老金制度改革;,中国社会科学院日本研究所社会研究室;
陆树程;郁蓓蓓;,家风传承对培育和践行社会主义核心价值观的意义,苏州大学学报(哲学社会科学版),2015,3,14-20,社会主义核心价值观;家风传承;培育;践行,苏州大学政治与公共管理学院;
王建南;,加强高校党委意识形态能力建设的三个着力点,思想理论教育导刊,2015,4,27-30,高校党委;意识形态;能力建设,福建师范大学党委办公室;
左鹏;,用核心价值观引领高校社会思潮关键环节,中国高等教育,2015,5,25-26,开明绅士;大学师生;爱惜羽毛;打牛;战略转移;政治理论课;灰色地带;意识形态性;主流意见;学生骨干;,北京科技大学马克思主义学院;
王柯敏;,扎实推进高校思想理论建设,中国高等教育,2015,Z1,37-40,思想理论建设;意识形态领域;青年教师;思想意识;发展潜力;学生骨干;培养工程;青年马克思;骨干培养;形势政策;,湖南省委教育工委;湖南省教育厅;
厉彦龙;,社会思潮发生发展的社会心理机制研究,思想教育研究,2015,4,39-42,社会思潮;发生发展;社会心理机制,北京科技大学马克思主义学院;
吕云超;,论社会思潮对大学生核心价值观形成的影响,思想理论教育导刊,2015,5,95-97,社会思潮;大学生;核心价值观;影响,南京师范大学公共管理学院;南京师范大学中北学院;
王琳;延保全;,论神庙戏台称谓及其雅俗之变,戏剧艺术,2015,3,70-77,神庙剧场;戏台称谓;“礼乐”文化;“雅俗”变化,山西师范大学戏剧与影视学院;山西师范大学文学院;
孙晓玲;,20世纪上半叶思潮下的月份牌设计,南京艺术学院学报(美术与设计),2015,3,89-94,月份牌;美术思潮;社会思潮;设计,合肥师范学院艺术传媒学院;
黄薇;,杨振宁美学教育思想述评,南京政治学院学报,2015,3,133-135,大学生;德育;生命教育;美育,长沙学院艺术设计系;
杨建兵;,当代官场小说:未完成的现代性,武汉理工大学学报(社会科学版),2015,3,564-568,官场小说;前现代;现代性;后现代,武汉工程大学外语学院;
刘芳坤;张文东;,“后青春”何以现实突围——2014年80后小说创作观察,文艺争鸣,2015,6,136-142,小说叙事;历史机遇;命名方式;自然史;张怡微;莎菲;代际;高加林;文学期刊;“乡土文学”;,东北师范大学文学院;山西大学文学院;
邹淋;,“青春想象”中的自我救赎——论近十年“网络小说改编电影”作品思想的哲学本质和价值,当代电影,2015,6,187-190,改编;救赎;价值,浙江大学人文学院;
李丽;高建林;,高校生活德育的特征、原则及实施路径探析,南京政治学院学报,2015,3,128-130,大学生;德育;生命教育;美育,南通大学政治学院;
马进;,思想政治教育视野下的大学生生命道德问题论析,南京政治学院学报,2015,3,131-132,大学生;德育;生命教育;美育,宝鸡职业技术学院;
陈冬生;,中国话语权,社会科学战线,2015,3,13-14,中国话语;社会舆论;基础服务;人类交往;国际话语权;世界历史性;德意志意识形态;中国崩溃论;国家地位;“中国威胁论”;,中央党校马克思主义理论教研部;
彭小杰;,普世价值的辩证思考,武汉理工大学学报(社会科学版),2015,3,543-548,普世价值;资本主义价值观;社会主义核心价值体系;西化,广东培正学院思政部;
张祥云;,列宁的民族文化观及相关问题辨析,当代世界与社会主义,2015,3,164-171,列宁;民族文化;民族文化自治;民族同化;语言特权,山东理工大学;
李亚员;李志军;,社会主义核心价值体系引领大学生思潮的瓶颈问题及其应对,高校教育管理,2015,4,108-113,社会主义核心价值体系;大学生思潮;瓶颈问题,东北师范大学思想政治教育研究中心;
史炳军;展赫男;,社会思潮冲击下当代大学生民族精神的培育,南通大学学报(社会科学版),2015,3,102-106,社会思潮;大学生;民族精神,江苏警官学院;
王宏波;,关于高校马克思主义学院建设的若干思考,思想理论教育,2015,6,26-29,马克思主义学院;建设标准;学术特色;社会思潮,西安交通大学马克思主义学院;
隋岩;张丽萍;,传媒消费主义带来的价值嬗变与文化反思,现代传播(中国传媒大学学报),2015,6,14-19,消费主义;价值观;主体性;媒介文化,中国传媒大学新闻传播学部电视学院;北京市互联网信息办公室;
张国祚;,中国文化软实力建设中几个值得注意的问题,红旗文稿,2015,14,28-30,文化部门;价值观培育;软实力建设;中华优秀传统;思想精华;意识形态领域;国际形势;思想政治教育;国内形势;战略部署;,中国文化软实力研究中心;
舒习龙;,晚清则例纂修特点与政治变迁,兰州学刊,2015,8,50-56,晚清则例;编纂情况;编纂特点;政治变迁,韩山师范学院历史系;
金景芝;刘嘉茵;,论民国时期中国戏曲理论的转型特质,河北学刊,2015,4,106-109,民国时期;戏曲;理论;转型,河北师范大学文学院;河北科技大学经济管理学院;
,李晓光,思想理论教育导刊,2015,6,2,马克思主义文化;北京高校;高等教育学会;马克思主义原理;性别研究;政治理论课;哲学研究;研究会理事;规划重点;研究项目;,
黄明理;吕雪峰;,社会主义核心价值体系与核心价值观创新及时代意义再认识,河海大学学报(哲学社会科学版),2015,2,5-11+89,社会主义核心价值体系;核心价值观;价值观;意识形态,河海大学公民道德发展与人的现代化研究基地;河海大学马克思主义学院;
郭清梅;梁捍东;,社会新常态与培育和践行社会主义核心价值观,山东社会科学,2015,S1,51-53,社会主义核心价值观;社会新常态;培育和践行,河北省社会主义学院;河北体育学院思政部;
刘伟欣;,思想政治教育理论研究的新形态及新范式研究,山东社会科学,2015,S1,98-100,思想政治教育;理论研究;新形态;新范式,冀中职业学院;
杨晓慧;,探寻中国马克思主义理论教育的文化语境,马克思主义研究,2015,6,130-135+160,马克思主义理论教育;中国特色社会主义;文化语境,东北师范大学党委;
廖小平;,论核心价值体系对价值观变迁的引领及其机制,天津社会科学,2015,4,20-26,核心价值体系;价值观变迁;引领;机制,中南林业科技大学;中国特色社会主义道德文化协同创新中心;
蒋昭阳;,当代中国知识分子的变迁与社会思潮整合,东南学术,2015,4,22-29,知识分子;社会变革;社会思潮整合,厦门大学马克思主义学院;
本刊编辑部;郑端;,切实增强责任感使命感 做好社会主义核心价值观宣传阐释工作,思想理论教育导刊,2015,6,1,中国梦;理论热点;中国传统文化;政治理论课;思想政治教育;社会共识;重点文章;自由观;人民群众;报刊司;,
李少奇;,文化安全视域下应对西方社会思潮冲击的大学生思想教育研究,西南民族大学学报(人文社科版),2015,8,225-230,文化安全;社会思潮;大学生;冲击;应对,重庆交通大学理学院;
卡米力·库尔马尤夫;,塔塔尔人在新疆地区近代教育中的作用,新疆大学学报(哲学·人文社会科学版),2015,2,56-61,塔塔尔人;新疆近代教育;作用,新疆大学人文学院;
,走过六十年 再创新辉煌,北京大学学报(哲学社会科学版),2015,3,219,北京大学学报;理论前沿;理论联系实际;人文资源;编校质量;学术热点;学术探索;十年;国际国内学术;期刊奖提名奖;,
靖小琴;张加明;,马克思主义生态精神及其时代展现,湖南社会科学,2015,4,35-37,马克思主义;生态精神;当代语境,武汉轻工大学马克思主义学院;
沈俊;,世变与自辩——论明代中后期苏州士人园林的农耕风尚,美苑,2015,4,82-85,明代中后期;姑苏志;春和景明;三十亩;以茂;明初;垒石;负面形象;王鏊;造园;,
余新忠;,真实与建构:20世纪中国的疫病与公共卫生鸟瞰,安徽大学学报(哲学社会科学版),2015,5,1月14日,公共卫生;防疫;卫生行政;鼠疫;血吸虫病;天花;艾滋病,南开大学中国社会史研究中心暨历史学院;
梁孝;,中国道路、思潮论争和单线式历史思维的超越,云南社会科学,2015,4,37-42,中国道路;多样化思潮;单线式历史思维;现代化史观,中国社会科学院马克思主义研究院;
郑师渠;,当下历史虚无主义之我见,历史研究,2015,3,13-17,历史虚无主义;历史真相;历史认知;思想倾向;非理性;中国历史发展;自谴;改良运动;耕者有其田;当代史;,北京师范大学历史学院;
程光炜;,“60后”的小说观——以李洱的《问答录》为话题,文艺研究,2015,8,5月13日,李洱;问答录;小说观;莫言;毕飞宇;现代小说;文学传统;当代小说;阎连科;王安忆;,中国人民大学文学院;
薛子燕;,平等:新文化运动时期不同社会主义思潮的共同追求与相互竞争,武汉大学学报(人文科学版),2015,5,31-39,平等;无政府主义;基尔特社会主义;马克思主义的科学社会主义,武汉大学哲学学院;
徐欣;,功利主义与进化观念的遇合与转向——旧戏改良论争中的西方思潮研究,甘肃社会科学,2015,4,184-188,功利主义;进化观念;新文化运动;西方思潮;中西文化比较,曲阜师范大学外国语学院;
朱晓林;双传学;,论列宁对俄国社会错误思潮的批判及其启示,广西社会科学,2015,7,57-61,列宁;错误思潮;批判;马克思主义信仰,河海大学马克思主义学院;
申海龙;,开展“三严三实”专题教育的哲学思考,理论月刊,2015,8,33-37,三严三实;教育;哲学思考,郑州师范学院政治与公共管理学院;
姜迎春;,论习近平意识形态建设理论的整体性,江海学刊,2015,4,5月9日,意识形态;社会主义;马克思主义;整体性,南京大学哲学系;中国历史唯物主义学会;
郭祎;王让新;,多元社会思潮与群体心态引领,理论月刊,2015,8,52-57,社会思潮;多元;群体;心态;引领,中共成都市委党校马克思主义理论部;电子科技大学马克思主义教育学院;
方丹;,新民族主义对我国文化安全和意识形态战略的冲击,武汉理工大学学报(社会科学版),2015,4,594-596,文化安全;西方敌对势力;多民族国家;分裂活动;国家民族政策;国家主流意识;社会改革;指一;思想观念;墨索里尼;,塔里木大学经济与管理学院;
杨振闻;,实现社会主义核心价值观认同的难题与对策,青海社会科学,2015,4,1月7日,社会主义核心价值观;价值观认同;难题;路径,中共湖南省委党校哲学部;
王路坦;,论邓小平对历史与历史人物的评价方法,贵州社会科学,2015,8,41-45,邓小平;历史观;历史人物评价方法;历史虚无主义;意识形态,中国人民大学;
秦在东;王昊;,社会治理的理论创新及其对思想政治教育管理创新的启示,湖北社会科学,2015,7,183-187,社会治理;思想政治教育管理;创新,华中师范大学马克思主义学院;
孙杰;,牢牢把握党对高校意识形态工作领导权管理权话语权,中国高等教育,2015,11,39-41,意识形态工作;意识形态领域;阵地意识;因势;前沿阵地;政治理论课;思政教育工作;共同思想;思想道德领域;社会价值观念;,北京物资学院;
朱文婷;陈锡喜;,意识形态安全视域中的社会思潮辨析与引领,湖北社会科学,2015,6,19-24+51,社会思潮;意识形态;核心价值观;引领,上海交通大学马克思主义学院;
方付建;,网络时代社会思潮发展动向研究,电子政务,2015,8,44-50,电子治理;网络社会;公共管理;社会思潮;网络舆情,中南民族大学公共管理学院;
肖庆华;,论大学的社会批判品性,高等教育研究,2015,5,8月12日,大学;社会批判;品性,贵州财经大学教育管理学院;
刘莉;,学术编辑职业修养浅析,中国出版,2015,16,75-77,学术编辑;职业修养;学术出版,中国人民大学出版社;
崔小敬;,明代江南才子与性灵小品游记,浙江社会科学,2015,9,130-135+160-161,明代;江南才子;江南游记;性灵小品,浙江省哲学社会科学重点研究基地浙江师范大学人文学院江南文化研究中心;
董德福;朱茜;,中国化思潮中的奇葩:张申府中国化思想及其独特禀性,学术研究,2015,8,121-128+160,张申府;中国化;马克思主义;中国传统思想当代化,江苏大学马克思主义学院;
杨联芬;,“自由离婚”:观念的奇迹,文学评论,2015,5,15-23,离婚自由;实践行为;公共话题;婚姻自由;儒家伦理;个人自由;传播过程;民族国家;感时;爱伦凯;,中国人民大学文学院;
马建强;,革命浪潮中的青少年——辛亥革命前后顾颉刚的思想成长与政治经历考述,湖北社会科学,2015,8,112-118,顾颉刚;辛亥革命;新文化运动;五四运动;晚清,湖北大学中国思想文化史研究所;
李春梅;,五四时期中国的先进分子为什么选择了马克思主义,思想理论教育导刊,2015,8,49-53,五四时期;中国先进分子;马克思主义,西南财经大学马克思主义学院;
陈开林;,内涵、影响及引领——对当代社会思潮研究趋向的反思,湖北大学学报(哲学社会科学版),2015,5,12月16日,当代社会思潮;研究趋向;总体性,南京师范大学公共管理学院;
石洪涛;,新形势下党的政治纪律建设面临的困境及其对策,中州学刊,2015,8,19-22,从严治党;政治纪律;政治规矩;法规制度,中国人民大学国际关系学院;
丁守庆;刘智伟;,马克思主义大众化的机理问题,科学社会主义,2015,4,24-29,马克思主义大众化;政治社会化;机理问题;协同效应;观念认同,中共新疆维吾尔自治区委员会党校;新疆行政学院;天津师范大学马克思主义学院;
孙庆民;,马克思主义理想信念及其当代价值,社会科学家,2015,7,20-24,马克思主义理想信念;历史;理论;当代价值,苏州大学政治与公共管理学院;苏州大学纺织与服装工程学院;
龚超;,社会主义核心价值观与公民心灵秩序的实践转化,湖北社会科学,2015,8,182-188,社会主义核心价值观;心灵秩序;认同;实践;信念,广州医科大学;
刘建华;,边疆多民族地区网络政治传播的失序与治理,吉首大学学报(社会科学版),2015,5,102-107,边疆多民族地区;网络政治传播;社会治理;战略传播,内蒙古科技大学文法学院;
毕红梅;李婉玉;,微时代社会思潮对大学生的作用机制,思想理论教育,2015,10,75-78,微时代;社会思潮;大学生;包装机制;渗透机制;接收机制,华中师范大学马克思主义学院;
隋岩;,媒介文化研究的三个路径,新闻大学,2015,4,76-85,媒介文化;社会思潮;消费主义;互联网群体传播;新历史主义;经典理论;跨学科,中国传媒大学新闻传播学部;
高瑞泉;,变动的光谱——社会思潮研究视野中的现代新儒学,中国人民大学学报,2015,5,2月9日,现代新儒学;道统;康有为;思想光谱,华东师范大学哲学系;华东师范大学中国现代思想文化研究所;
闫翠娟;平章起;,符号互动视域下“恶搞英雄”现象的意识形态解读,深圳大学学报(人文社会科学版),2015,5,32-36,符号学;恶搞英雄;青年亚文化;主流意识形态;互动,天津科技大学法政学院;南开大学马克思主义教育学院;
吴建民;,王阳明“心学”影响中晚明文论建构的三个维度,北方论丛,2015,5,24-27,王阳明;心学;中晚明文论,江苏师范大学文学院;
本刊编辑部;,本期寄语,古代文明,2015,4,2,历史编纂学;卡罗;微观史学;国粹主义;民族国家;奴隶买卖;契约研究;意识觉醒;藤湖;康熙八年;,
赵轶峰;,韩国历史编纂学中的民族主义,古代文明,2015,4,2-12+110,韩国;历史编纂学;民族主义;现代化,东北师范大学亚洲文明研究院;
